date,Open,High,Low,close,Adj Close,Volume
2000-01-14,53.59375,56.96875,52.875,56.125,34.866093,73416400
2000-01-18,55.90625,58.25,55.875,57.65625,35.817329,81483600
2000-01-19,55.25,55.75,53,53.5,33.235386,97568200
2000-01-20,53.53125,54.84375,52.9375,53,32.924767,56349800
2000-01-21,53.5,53.625,51.625,51.875,32.225891,68416200
2000-01-24,51.898438,52.84375,50.40625,50.625,31.449352,63597600
2000-01-25,50.5,51.9375,49.78125,51.40625,31.934698,59823200
2000-01-26,51.21875,51.75,49.5625,49.6875,30.86697,49365000
2000-01-27,49.945313,50.59375,48.625,49.375,30.67284,63654800
2000-01-28,49.0625,50.125,48.625,49.125,30.517532,58225400
2000-01-31,48.8125,49.09375,47.4375,48.9375,30.40106,73194200
2000-02-01,49.25,51.625,48.84375,51.46875,31.973513,70196600
2000-02-02,51.21875,51.96875,50.25,50.40625,31.313484,49915600
2000-02-03,51.03125,52.09375,50.0625,51.8125,32.187065,49186000
2000-02-04,52.1875,54,52.070313,53.28125,33.099483,55365400
2000-02-07,53.40625,53.4375,52.125,53.3125,33.118896,40005800
2000-02-08,53.21875,55,53.21875,54.96875,34.147812,56229000
2000-02-09,54.71875,54.71875,51.9375,52,32.303539,55090000
2000-02-10,51.945313,53.28125,51.25,53,32.924767,54527800
2000-02-11,52.4375,52.4375,49.5625,49.96875,31.041695,115559000
2000-02-14,50.617188,50.875,49.53125,49.8125,30.944624,81028600
2000-02-15,49.875,50,49.0625,49.28125,30.614592,71027600
2000-02-16,49.625,50.09375,48.5625,48.8125,30.323408,65202600
2000-02-17,49.25,49.84375,48.570313,49.8125,30.944624,80343400
2000-02-18,50,50.03125,47.4375,47.53125,29.527449,79063000
2000-02-22,47.5625,48.5625,46.40625,46.90625,29.139198,66296200
2000-02-23,46.75,47.875,46.03125,47.125,29.275103,75847200
2000-02-24,47.125,47.9375,46,47.375,29.430395,69733200
2000-02-25,47.34375,47.351563,45.25,45.65625,28.362667,65301400
2000-02-28,45.125,46.0625,44.0625,45.78125,28.44031,76131800
2000-02-29,45.875,45.875,44.4375,44.6875,27.760859,58437400
2000-03-01,44.8125,47.046875,44.46875,45.40625,28.207357,106889800
2000-03-02,45.90625,47.6875,45.5625,46.6875,29.003309,106932600
2000-03-03,47.375,49.4375,46.9375,48.0625,29.857483,101435200
2000-03-06,48,48.6875,45.0625,45.3125,28.149118,93609400
2000-03-07,48.0625,48.75,45.96875,46.4375,28.848011,135061000
2000-03-08,46.90625,48.09375,45.5,47.78125,29.682766,94290000
2000-03-09,47.65625,50,47.5,50,31.061117,88198800
2000-03-10,49.78125,51.25,49.75,50.5,31.371723,85589000
2000-03-13,48.8125,50.125,48.75,49,30.439894,61831800
2000-03-14,49.3125,49.625,47.5625,47.5625,29.546875,73489200
2000-03-15,47.28125,48.3125,46.84375,47.6875,29.62454,53208000
2000-03-16,47.96875,48.34375,46.625,47.6875,29.62454,77300800
2000-03-17,47.625,49.75,47.25,49.6875,30.86697,81161600
2000-03-20,49.375,49.875,48.25,48.6875,30.245749,47773000
2000-03-21,48.375,51.5625,48.25,51.375,31.915285,81648800
2000-03-22,51.40625,52.8125,50.5625,51.625,32.070591,93975800
2000-03-23,53.40625,56.4375,53.3125,55.9375,34.749607,148224000
2000-03-24,56.3125,57.5,54.78125,55.84375,34.691376,112196800
2000-03-27,53.882813,54.125,51.96875,52.03125,32.322952,111434000
2000-03-28,51.8125,53.71875,51.1875,52.15625,32.40062,81114400
2000-03-29,52.59375,54.46875,52.5625,53.59375,33.293629,64363800
2000-03-30,53.09375,54.3125,51.25,51.6875,32.109425,64178400
2000-03-31,53,54.125,52.0625,53.125,33.00243,64281400
2000-04-03,47.21875,48.25,45,45.4375,28.226774,260118200
2000-04-04,45.78125,46,42.46875,44.28125,27.508488,181244400
2000-04-05,44.125,44.25,42.9375,43.1875,26.829035,82887600
2000-04-06,43.9375,44,42.632813,43,26.712555,66421400
2000-04-07,43.5,44.6875,42.5,44.53125,27.663803,82613600
2000-04-10,44.3125,44.3125,43,43.03125,26.731962,60685400
2000-04-11,42.5625,43.03125,41.75,41.9375,26.052515,71961800
2000-04-12,41.0625,41.125,39.375,39.6875,24.654755,153003800
2000-04-13,40.4375,41.125,39.5,39.625,24.615923,94316200
2000-04-14,39.5625,39.75,36.625,37.0625,23.024044,151217800
2000-04-17,37.125,38,36.5,37.9375,23.567617,119772200
2000-04-18,38.25,40.96875,37.9375,40.28125,25.023603,91794600
2000-04-19,40.71875,40.75,39.0625,39.34375,24.441208,53715400
2000-04-20,39.3125,39.9375,38.75,39.46875,24.518854,52387400
2000-04-24,33.625,34,32.5,33.3125,20.694452,313645800
2000-04-25,34.375,34.75,33.8125,34.6875,21.548641,159517400
2000-04-26,35,35.5625,33.6875,34,21.121552,107091200
2000-04-27,33.71875,34.96875,33.6875,34.90625,21.684536,77669800
2000-04-28,35.375,35.5,34.125,34.875,21.665127,78082600
2000-05-01,36.4375,37,35.84375,36.71875,22.810492,107811000
2000-05-02,36.40625,36.75,34.75,34.9375,21.703953,97716200
2000-05-03,35.1875,35.40625,34.40625,35.28125,21.917507,55354800
2000-05-04,35.15625,35.625,34.65625,35.21875,21.878656,43317200
2000-05-05,35.125,35.90625,34.9375,35.5625,22.092207,36402200
2000-05-08,35.46875,35.6875,34.84375,34.90625,21.684536,36187600
2000-05-09,35.09375,35.21875,33.75,33.90625,21.063303,60778400
2000-05-10,33.875,33.9375,32.875,33.09375,20.558571,67740000
2000-05-11,33.3125,34.0625,32.875,33.9375,21.082726,58390800
2000-05-12,34.21875,34.875,34.125,34.40625,21.373926,37886000
2000-05-15,34.5,34.71875,34,34.6875,21.548641,33899600
2000-05-16,34.78125,35.3125,34.53125,34.75,21.587465,48410600
2000-05-17,34.4375,34.5625,33.625,33.84375,21.024483,53242000
2000-05-18,34.03125,34.03125,32.9375,33.09375,20.558571,53640400
2000-05-19,32.6875,32.96875,32.25,32.53125,20.209129,66578000
2000-05-22,32.5625,32.625,31.21875,32.09375,19.937346,69955000
2000-05-23,31.9375,32.78125,31.53125,31.59375,19.62674,57963200
2000-05-24,31.5625,33.28125,31.5,32.78125,20.364439,85482400
2000-05-25,32.28125,32.375,30.5625,30.75,19.102579,94348800
2000-05-26,31.03125,31.3125,30.1875,30.71875,19.083166,55822000
2000-05-30,31.21875,32.0625,31,31.6875,19.68498,68536400
2000-05-31,31.820313,31.851563,31.03125,31.28125,19.432604,54968200
2000-06-01,32.1875,33,31.90625,32.28125,20.053823,94507200
2000-06-02,33,33.375,32.5,33.15625,20.597393,80463200
